# Rime user dictionary
#@/db_name	wubi98
#@/db_type	userdb
#@/rime_version	1.8.4
#@/tick	8092
#@/user_id	Linux
gmww 	两	c=1 d=0.00631391 t=8092
gn 	与	c=9 d=2.25198 t=8092
gng 	与	c=2 d=0.380835 t=8092
gngd 	与	c=1 d=0.00634556 t=8092
go 	亚	c=2 d=0.510787 t=8092
gpiu 	于福洋	c=21 d=10.1937 t=8092
gpuy 	天安门	c=1 d=0.0349094 t=8092
gq 	万	c=1 d=0.158025 t=8092
gqbm 	列出	c=2 d=1.89319 t=8092
gqge 	列表	c=3 d=1.65024 t=8092
gqj 	列	c=2 d=1.32459 t=8092
gqx 	死	c=1 d=0.0350843 t=8092
gqyw 	熬夜	c=1 d=0.214381 t=8092
gr 	珀	c=1 d=0.384812 t=8092
gsne 	末尾	c=1 d=0.0695996 t=8092
gtf 	珠	c=1 d=0.618783 t=8092
gtgq 	一系列	c=1 d=0.213312 t=8092
gu 	来	c=37 d=4.21575 t=8092
guck 	平台	c=1 d=0.310367 t=8092
gud 	夹	c=2 d=0.224248 t=8092
gugc 	来到	c=1 d=0.0241131 t=8092
guid 	来源	c=1 d=0.319819 t=8092
gupv 	平安	c=1 d=0.229926 t=8092
guqs 	平铺	c=1 d=0.511709 t=8092
gusi 	来	c=1 d=9.51553e-05 t=8092
guth 	平息	c=1 d=0.348193 t=8092
guth 	来自	c=2 d=0.723054 t=8092
gxsf 	素材	c=2 d=0.481909 t=8092
gxu 	毒	c=1 d=0.0338776 t=8092
gxyu 	五线谱	c=1 d=0.472366 t=8092
h 	上	c=21 d=3.42142 t=8092
hdwv 	辈分	c=1 d=0.068563 t=8092
hg 	睛	c=1 d=0.618783 t=8092
hggh 	鬥	c=2 d=1.34403 t=8092
hghg 	凸	c=2 d=1.10588 t=8092
hhdl 	上面	c=1 d=0.256661 t=8092
hhgg 	上	c=2 d=0.708699 t=8092
hhgy 	上班	c=2 d=1.5711 t=8092
hhhh 	目	c=3 d=0.00224321 t=8092
hhit 	上海	c=4 d=1.47042 t=8092
hhmr 	上网	c=4 d=2.20377 t=8092
hhnm 	上届	c=1 d=0.951229 t=8092
hhnu 	上屏	c=2 d=1.87888 t=8092
hhqc 	上色	c=3 d=0.447185 t=8092
hhu 	卡	c=3 d=0.645154 t=8092
hhue 	目前	c=1 d=0.0109436 t=8092
hhvi 	目录	c=11 d=4.87138 t=8092
hhwy 	卡住	c=2 d=0.595132 t=8092
hhy 	卜	c=1 d=0.970446 t=8092
hhyy 	上文	c=2 d=0.154629 t=8092
hj 	旧	c=4 d=0.904726 t=8092
