# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	5035
#@/user_id	salt-linux
a 	啊	c=5 d=2.59854 t=5035
chu fa qi 	觸發器	c=4 d=1.48536 t=5035
chu guo 	楚國	c=4 d=3.89732 t=4909
chu hao 	除號	c=1 d=0.774916 t=5035
chu kou 	出口	c=1 d=0.83527 t=5035
chu li 	處理	c=6 d=2.59158 t=5035
chu shi hua 	初始化	c=4 d=0.393964 t=5035
chu xian 	出現	c=2 d=0.577619 t=5035
chuan 	傳	c=1 d=0.840683 t=5035
chuan liu 	串流	c=1 d=0.433874 t=5035
chuan shu 	傳輸	c=4 d=2.85205 t=5035
chuan song 	傳送	c=0 d=0.141291 t=5035
chuan song men 	傳送們	c=1 d=0.70822 t=5035
chuan song men 	傳送門	c=1 d=0.71177 t=5035
chuan tou 	穿透	c=4 d=1.66178 t=5035
chuan wen jian 	傳文件	c=1 d=0.67032 t=5035
chuan xi lu 	傳習錄	c=1 d=0.0652193 t=5035
chuang jian 	創建	c=4 d=1.28133 t=5035
chuang kou 	窗口	c=10 d=2.93435 t=5035
chuang kou cao zuo 	窗口操作	c=2 d=1.69156 t=5035
chuang yi 	創意	c=1 d=0.0295289 t=5035
chuang yi bian cheng 	創意編程	c=5 d=0.228481 t=5035
chui 	垂	c=1 d=0.937067 t=5035
chui zhi 	垂直	c=2 d=1.22781 t=5035
chun 	春	c=0 d=0.0740818 t=5035
ci 	次	c=1 d=0.640824 t=5035
ci dian 	詞典	c=6 d=3.85772 t=5035
ci hui 	詞彙	c=3 d=1.05029 t=5035
ci shu 	次數	c=1 d=0.00299743 t=5035
ci tiao 	詞條	c=3 d=1.40275 t=5035
ci yun 	詞雲	c=5 d=4.65357 t=5035
cong 	從	c=6 d=1.16361 t=5035
cong er 	從而	c=2 d=0.213322 t=5035
cong guo jia an quan 	從國家安全	c=1 d=0.0222592 t=5035
cong shang dao xia 	從上到下	c=1 d=0.479505 t=5035
cu 	粗	c=1 d=0.865022 t=5035
cun chu 	存儲	c=2 d=1.1359 t=5035
cun chu guo cheng 	存儲過程	c=4 d=1.51058 t=5035
cun chu tong 	存儲桶	c=2 d=1.43426 t=5035
cun zai 	存在	c=2 d=0.96404 t=5035
cun zai yi xie 	存在一些	c=1 d=0.600496 t=5035
cuo le 	錯了	c=0 d=0.00378169 t=5035
cuo shi 	措施	c=1 d=0.790571 t=5035
cuo wu lv 	錯誤率	c=2 d=0.524663 t=5035
da 	噠	c=1 d=0.0500366 t=5035
da 	大	c=2 d=0.238288 t=5035
da 	打	c=0 d=0.0790571 t=5035
da an 	答案	c=6 d=2.54934 t=5035
da bu fen 	大部分	c=1 d=0.29523 t=5035
da dao 	達到	c=1 d=0.036334 t=5035
da duo shu 	大多數	c=1 d=0.0322254 t=5035
da ge 	大哥	c=0 d=0.0634448 t=5035
da jia 	大家	c=4 d=0.965605 t=5035
da jia dou zhe yang 	大家都這樣	c=1 d=0.13068 t=5035
da jia hao 	大家好	c=1 d=0.162838 t=5035
da kai 	打開	c=5 d=1.12961 t=5035
da kai le 	打開了	c=1 d=0.985112 t=5035
da liang 	大量	c=2 d=0.193645 t=5035
da luan 	打亂	c=1 d=0.0023461 t=5035
da sai 	大賽	c=1 d=0.0464212 t=5035
da shang 	打賞	c=1 d=0.657106 t=5035
da shang yi ge 	打賞一個	c=1 d=0.113042 t=5035
da ti 	大題	c=1 d=0.427415 t=5035
da wan 	打完	c=1 d=0.822835 t=5035
da wu bi 	打五筆	c=1 d=0.167797 t=5035
da xiang 	大象	c=1 d=0.951229 t=5035
da xiao 	大小	c=5 d=1.61312 t=5035
da xiao xie 	大小寫	c=1 d=0.298197 t=5035
da xue 	大學	c=4 d=1.17322 t=5035
da xue sheng 	大學生	c=4 d=0.0747457 t=5035
da yin 	打印	c=1 d=0.0513033 t=5035
da zao 	打造	c=1 d=0.398519 t=5035
da zi 	打字	c=3 d=1.1545 t=5035
da zi ji 	打字機	c=3 d=1.7746 t=5035
